"","Scenario","Algorithm","n_value","number_of_all_ncs_value","n_iterations","n_permutations","number_of_good_ncs_value","rho_value","single_nc_power","ntree","rejection rate"
"1","Degrees","Bonf","200","10","5","12","2","-100","0.5","10","1"
"2","Degrees","Bonf","200","10","5","12","3","-100","0.5","10","1"
"3","Degrees","Bonf","200","10","5","12","4","-100","0.5","10","1"
"4","Degrees","Bonf","200","10","5","12","2","0","0.5","10","1"
"5","Degrees","Bonf","200","10","5","12","3","0","0.5","10","1"
"6","Degrees","Bonf","200","10","5","12","4","0","0.5","10","1"
"7","Degrees","Bonf","200","10","5","12","2","0.5","0.5","10","1"
"8","Degrees","Bonf","200","10","5","12","3","0.5","0.5","10","1"
"9","Degrees","Bonf","200","10","5","12","4","0.5","0.5","10","1"
"10","Degrees","F test","200","10","5","12","2","-100","0.5","10","1"
"11","Degrees","F test","200","10","5","12","3","-100","0.5","10","1"
"12","Degrees","F test","200","10","5","12","4","-100","0.5","10","1"
"13","Degrees","F test","200","10","5","12","2","0","0.5","10","1"
"14","Degrees","F test","200","10","5","12","3","0","0.5","10","1"
"15","Degrees","F test","200","10","5","12","4","0","0.5","10","1"
"16","Degrees","F test","200","10","5","12","2","0.5","0.5","10","1"
"17","Degrees","F test","200","10","5","12","3","0.5","0.5","10","1"
"18","Degrees","F test","200","10","5","12","4","0.5","0.5","10","1"
"19","Degrees","SUR","200","10","5","12","2","-100","0.5","10","1"
"20","Degrees","SUR","200","10","5","12","3","-100","0.5","10","1"
"21","Degrees","SUR","200","10","5","12","4","-100","0.5","10","1"
"22","Degrees","SUR","200","10","5","12","2","0","0.5","10","1"
"23","Degrees","SUR","200","10","5","12","3","0","0.5","10","1"
"24","Degrees","SUR","200","10","5","12","4","0","0.5","10","1"
"25","Degrees","SUR","200","10","5","12","2","0.5","0.5","10","1"
"26","Degrees","SUR","200","10","5","12","3","0.5","0.5","10","1"
"27","Degrees","SUR","200","10","5","12","4","0.5","0.5","10","1"
"28","Degree","RF","200","10","5","12","2","-100","0.5","10","1"
"29","Degree","RF","200","10","5","12","3","-100","0.5","10","1"
"30","Degree","RF","200","10","5","12","4","-100","0.5","10","1"
"31","Degree","RF","200","10","5","12","2","0","0.5","10","1"
"32","Degree","RF","200","10","5","12","3","0","0.5","10","1"
"33","Degree","RF","200","10","5","12","4","0","0.5","10","1"
"34","Degree","RF","200","10","5","12","2","0.5","0.5","10","1"
"35","Degree","RF","200","10","5","12","3","0.5","0.5","10","1"
"36","Degree","RF","200","10","5","12","4","0.5","0.5","10","1"
"37","Interactions","Bagging","200","10","5","12","2","-100","0.5","10","1"
"38","Interactions","Bagging","200","10","5","12","3","-100","0.5","10","1"
"39","Interactions","Bagging","200","10","5","12","4","-100","0.5","10","1"
"40","Interactions","Bagging","200","10","5","12","2","0","0.5","10","1"
"41","Interactions","Bagging","200","10","5","12","3","0","0.5","10","1"
"42","Interactions","Bagging","200","10","5","12","4","0","0.5","10","1"
"43","Interactions","Bagging","200","10","5","12","2","0.5","0.5","10","1"
"44","Interactions","Bagging","200","10","5","12","3","0.5","0.5","10","1"
"45","Interactions","Bagging","200","10","5","12","4","0.5","0.5","10","1"
